"video_id","channel_id","start_date"
"dFypyQ4IMjo","UCKAsDhlUnVEF5bGVC98kdtw",2026-03-01
"X0yUr2YNVvo","UC98oVGbwlYH7DUSx1TwcVnw",2026-03-01
"8LF4QlbnOaU","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-02
"7cH8HSOqkqU","UCCv-2IH7-YazDLVZ7BEIhkg",2026-03-02
"ITIATE5obUA","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-02
"E3G4WcxOr_A","UCjYFwkKvItvRTZYTMQfbTUA",2026-03-02
"bW949EVYJ4w","UCKAsDhlUnVEF5bGVC98kdtw",2026-03-02
"AsSEXpkREfk","UCWjue041KSU7Tu_PX8KkWQw",2026-03-02
"DetvwDl10Wk","UC79hvLewinJiByC0NyWBTBQ",2026-03-02
"vYDhbvuEAe8","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-03
"xwb56F1-oD8","UCAMl62VX7wwiL80MhgBo8ew",2026-03-03
"P1kzILyM3qo","UCCv-2IH7-YazDLVZ7BEIhkg",2026-03-03
"hIPcsLMWAUY","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-03
"lt5rDKKweCI","UCjYFwkKvItvRTZYTMQfbTUA",2026-03-03
"6ApgFjYvdPg","UCKAsDhlUnVEF5bGVC98kdtw",2026-03-03
"GPdxJGvgLUE","UC98oVGbwlYH7DUSx1TwcVnw",2026-03-03
"VEPD_vFu6J8","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-04
"Aywou4gMp3A","UCWjue041KSU7Tu_PX8KkWQw",2026-03-04
"hAjk9l8dX2Y","UCjYFwkKvItvRTZYTMQfbTUA",2026-03-04
"VxkAI_p-BKU","UCKAsDhlUnVEF5bGVC98kdtw",2026-03-04
"8RU7sWqUhdU","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-04
"YzOyaPEBfCQ","UCfpjvePaHFyif-E7EEh-3tg",2026-03-05
"QlU9gtahQJM","UC7OjdmWesJHZiqZwxeljkYQ",2026-03-05
"5IRVj86YdDc","UC2IpSjwGIQ1IMUHF6e-gmVw",2026-03-05
"6QsedHMNQZ8","UC0QkdbSQlLB3yuvVg6Ga7eg",2026-03-05
"2VL8PZsRTXU","UCCv-2IH7-YazDLVZ7BEIhkg",2026-03-05
"dOBwcVFmv9I","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-05
"zCzIAg77utU","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-05
"_OZSVpHQy98","UCYxE-PBo06P035AxeZdQm4w",2026-03-05
"2BbPMRzJQh4","UC79hvLewinJiByC0NyWBTBQ",2026-03-05
"tfFdIMTayL4","UCKAsDhlUnVEF5bGVC98kdtw",2026-03-05
"jjl9Gu8fKSA","UCAMl62VX7wwiL80MhgBo8ew",2026-03-05
"1WI68yiQaeU","UCjYFwkKvItvRTZYTMQfbTUA",2026-03-05
"HYUd3gj_EPc","UCWjue041KSU7Tu_PX8KkWQw",2026-03-05
"_4M_l7MkEgI","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-06
"yjMVfXzkZew","UCCv-2IH7-YazDLVZ7BEIhkg",2026-03-06
"ZUORfYQ9S3Y","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-06
"ih_YNBrZKqg","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-06
"Lh13VcscSiU","UCjYFwkKvItvRTZYTMQfbTUA",2026-03-06
"VZ_Uee7-Ypg","UCxlNthtlYn3rWyjA1XCOLuw",2026-03-06
"HqiGaYDTcq4","UCKAsDhlUnVEF5bGVC98kdtw",2026-03-06
"5G8Tooh7pgw","UCWjue041KSU7Tu_PX8KkWQw",2026-03-06
"m0rwmwN8tpE","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-06
"cgGldxEBmIo","UCAvBGwk6yKYhXDDoXXXIeog",2026-03-07
"lqJI16XJPeU","UCxjwhABqs97sfYrDqGo4Exw",2026-03-07
"PSqIeJXjiIw","UCBH1KZx6fkN2oDL46VL7-lQ",2026-03-07
"aemE2TsoJrw","UC4zSeC2mJb1mQd1XGk4wjmw",2026-03-07
"QOLlWsZyXVY","UCQX71aFdT5EBlf-KXOLXATA",2026-03-07
"U9C1SC9V84Y","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-07
"WLEqCIuBB9c","UCAMl62VX7wwiL80MhgBo8ew",2026-03-07
"o5Gz7IWIHqc","UCmzlU-Rtdz2tV1dI7KQvTxw",2026-03-07
"PY1jcsNAbYM","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-07
"sl2C1WlqwYI","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-07
"ZAG-T-0-gtE","UCxjwhABqs97sfYrDqGo4Exw",2026-03-07
"kkF_Y1Z-5ts","UCjYFwkKvItvRTZYTMQfbTUA",2026-03-07
"Z2mDMwKGvSM","UCKAsDhlUnVEF5bGVC98kdtw",2026-03-07
"UjR78hLEmAE","UCjYFwkKvItvRTZYTMQfbTUA",2026-03-08
"uBDHgnUgizw","UCCv-2IH7-YazDLVZ7BEIhkg",2026-03-08
"G95UnUuBaTA","UCEYKSLqhk9HsOd68T2jKbbQ",2026-03-08
"8WgYnF0VIuA","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-08
"-2VzNCOV0Nw","UCjYFwkKvItvRTZYTMQfbTUA",2026-03-08
"vpcEe4J9ttA","UCAMl62VX7wwiL80MhgBo8ew",2026-03-08
"EIMTr7dGCUg","UCjYFwkKvItvRTZYTMQfbTUA",2026-03-01
"iP0Evgr2Z78","UCEYKSLqhk9HsOd68T2jKbbQ",2026-03-01
"IQN7OrHJPvA","UC1TWG3vZgFm-n6NpeKDx4jA",2026-03-01
"lekMa1kekTU","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-03-01
"5Mpc69ubZe0","UCKAsDhlUnVEF5bGVC98kdtw",2026-02-28
"8Y4bSWj9fcs","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-02-28
"b67SQEyMCgI","UC1TWG3vZgFm-n6NpeKDx4jA",2026-02-28
"90RyQ_n-exE","UC1TWG3vZgFm-n6NpeKDx4jA",2026-02-28
"t3SD6hMP5WI","UCjYFwkKvItvRTZYTMQfbTUA",2026-02-28
"bg1wui2WDoo","UCWjue041KSU7Tu_PX8KkWQw",2026-02-28
"QTXrfYchOpU","UCCv-2IH7-YazDLVZ7BEIhkg",2026-02-27
"iaKsPoHsOr8","UC98oVGbwlYH7DUSx1TwcVnw",2026-02-27
"CMUzz9cv-Lg","UCKAsDhlUnVEF5bGVC98kdtw",2026-02-27
"qmG49Jf0j4Q","UC1TWG3vZgFm-n6NpeKDx4jA",2026-02-27
"JjY4LXfYrB0","UC98oVGbwlYH7DUSx1TwcVnw",2026-02-27
"EBsIwDDdlQA","UCAMl62VX7wwiL80MhgBo8ew",2026-02-27
"JGdBqB176y4","UCJ0cTCw8QxUB0U2lFtjpaEQ",2026-02-27
"OGpfrFccJuo","UC98oVGbwlYH7DUSx1TwcVnw",2026-02-26
